Título,Precio,Categoría,Fecha de lanzamiento,Descripción
7 Years From Now,"9,99 €*","• Aventura, Otros, Rol (RPG)",17-06-2021,"Engaño, sueños y secretos oscuros"
Pixel Game Maker Series ISEKAI QUARTET Adventure:Action Game,"11,19 €*","• Acción, Arcade",17-06-2021,A great adventure in a mysterious world! Lead 5 characters to victory! Pain and pleasure abound in this jumping action game!
Dunk Lords,"9,99 €*","• Acción, Arcade, Deportes, Lucha",17-06-2021,"Puede que seas un hacha del baloncesto, pero... ¿sabes luchar?"
Arcade Archives SEICROSS,"6,99 €*","• Arcade, Disparos (Shooter)",17-06-2021,"Sneak into the mysterious fortress, evade pursuit and launch an attack!"
Arcade Space Shooter 2 in 1,"3,99 €*","• Acción, Arcade, Disparos (Shooter), Otros",17-06-2021,"Arcade Space Shooter brings two games inspired by the classic Arcade games, both are fast, addictive and retro shoot ’em up!"
Pretty Girls Klondike Solitaire,"5,99 €*","• Puzle, Tablero",17-06-2021,¡Jugar al solitario no tiene por qué ser una experiencia solitaria!
The Sisters - Party of the Year,"39,99 €*","• Aventura, Fiesta",16-06-2021,"¡Acompaña a Marina, Wendy y todos sus amigos en esta nueva aventura en videojuego! ¡Enfréntate a minijuegos delirantes y recorre toda la ciudad de las Sisters!"
Puzzle Box 3 in 1,"4,99 €*","• Arcade, Estrategia, Puzle, Tablero",16-06-2021,Add up same numbers and connect the dot puzzle games
Plastic Rebellion,"7,99 €*","• Acción, Acción en primera persona (FPS), Estrategia, Plataformas",16-06-2021,"Change your playground into a battlefield. Square off against an out-of-control 3D Printer with an army of your old-school toys, and stop the Plastic Rebellion!"
Side B,"4,99 €*","• Aventura, Puzle",16-06-2021,Polish vibes in the point-and-click game.
Together,"6,99 €*","• Acción, Arcade, Plataformas",16-06-2021,"Discover a new world, but do not do it alone - take a friend, play together! Travel together through increasingly demanding levels of difficulty in many interesting biomes. Color the world!"
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
,,,Fecha no disponible,
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
Strange Brigade,"A partir de: 29,99 €*","• Acción, Aventura, Disparos (Shooter)",15-06-2021,¿RESPONDERÁS A LA LLAMADA DE LA AVENTURA?
Blocky Puzzle,"4,99 €*","• Arcade, Otros, Puzle, Tablero",15-06-2021,Fill in the grid with various shapes
Minute of Islands,"19,99 €*","• Aventura, Puzle",13-06-2021,Guía a la joven Mo en su misión de reparar un mundo al borde del abismo. Explora las islas y los laberintos oscuros que hay bajo ellas.
Zombie Raid,"3,99 €*","• Arcade, Disparos (Shooter)",12-06-2021,"Zombie Raid es un juego de disparos de arriba hacia abajo con acción frenética, gracias a su generador de energía al vuelo, tu objetivo es sobrevivir a las oleadas de enemigos."
DreamWorks Spirit La gran aventura de Fortu,"29,99 €*","• Acción, Aventura",11-06-2021,"Explora la frontera salvaje con el fiel caballo de Fortu, Spirit, y sus mejores amigas Abigaíl y Pru. Dónde os llevará vuestra amistad y un misterioso mapa del tesoro?"
Inexistence Rebirth,"7,49 €*","• Plataformas, Rol (RPG)",11-06-2021,Descubre un mundo inmenso lleno de misterios y acción en este juego de estilo metroidvania que está inspirado en los clásicos de la era de los 16 bits.
Super Soccer Blast: America VS Europe,"9,99 €4,99 €*","• Arcade, Deportes, Football Fútbol, Simulación",11-06-2021,¡Prepárate para el saque inicial y disfruta del mejor fútbol arcade!
League Of Champions Soccer,"5,99 €*",• Deportes,11-06-2021,Vive la Copa de Fútbol de la Liga Europea de Campeones como lo hacen los jugadores reales. Elige tu equipo y juega los partidos del sorteo real hasta la final.
Multilevel Parking Driver,"11,99 €4,79 €*","• Acción, Carreras, Deportes, Simulación",11-06-2021,Explore the intricate multi floor parking garage full of challenges and surprises! Drive around the detailed city environment beyond! Pick from 10 exciting cars to drive!
Wave Break,"19,99 €*","• Acción, Arcade, Deportes, Disparos (Shooter)",11-06-2021,"¡Un juego de skateBOATING al estilo arcade con un alboroto de disparos, piruetas y explosiones!"
The Solitaire Conspiracy,"9,99 €*","• Estrategia, Puzle, Simulación, Tablero",11-06-2021,"Han puesto en jaque a Protego, la agencia de espionaje líder en el mundo. Solo una persona puede usar las C.A.R.D.S. para coordinar a los equipos de espías de Protego y salvar el mundo. Tú."
Sun Wukong VS Robot,"4,99 €*","• Acción, Aventura, Plataformas, Rol (RPG)",11-06-2021,¡Enfréntate a robots en este mega-mini-metroidvania!
NINJA GAIDEN: Master Collection,"39,99 €*","• Acción, Aventura",10-06-2021,"¡3 juegos de acción ninja frenéticos, reunidos en una colección única!"
Alchemist Adventure,"19,99 €*","• Acción, Aventura, Puzle",10-06-2021,"¡Todo un mundo lleno de aventuras, misterios y alquimia!"
NINJA GAIDEN: Master Collection Deluxe Edition,"49,99 €*","• Acción, Aventura",10-06-2021,"Este lote incluye tanto ""NINJA GAIDEN: Master Collection"" como todo el contenido adicional de la Deluxe Edition."
Life of Fly 2,"9,99 €*","• Aventura, Otros, Puzle, Simulación",10-06-2021,"Life of Fly 2 presenta 13 historias cortas, cada una de las cuales gira en torno a la vida y los pensamientos extraños de diferentes moscas. Es una reflexión sobre la sociedad humana y"
Pix Jungle Adventures,"4,99 €2,49 €*","• Acción, Arcade, Aventura, Plataformas",10-06-2021,Start your adventure and explore the pixel worlds!
Sable's Grimoire,"14,99 €7,49 €*",• Aventura,10-06-2021,Apúntate a una academia de fantasía y conoce a chicas monstruo.
Age of Sokoban,"2,99 €*","• Arcade, Aventura, Plataformas, Puzle",10-06-2021,
Notes,"9,99 €*","• Estilo de vida, Uso práctico",10-06-2021,"Este es un bloc de notas simple y útil (funciona a la perfección) para que, jugador o no jugador, tome notas de una manera fácil y rápida. Viene con ahorro automático."
Arcade Archives PIRATE PETE,"6,99 €*","• Acción, Arcade",10-06-2021,Depart on a swashbuckling adventure! Save the captured damsel in distress!
Four Kings: Video Poker,"4,99 €*","• Estrategia, Otros, Puzle, Tablero",10-06-2021,"Four Kings: Video Poker te permite perfeccionar tus habilidades en el póquer, ¡no necesitas fichas adicionales!"
Piczle Cells,"4,99 €*","• Acción, Puzle",10-06-2021,¡Estrújate las neuronas y fusiona todas las células del microscopio!
Haunted Dawn: The Zombie Apocalypse,"16,99 €*","• Acción, Acción en primera persona (FPS), Arcade, Disparos (Shooter)",10-06-2021,"A single-play FPS game with a story about escaping zombies to survive! The suspenseful stages in various places such as subway, hospital, school and so on!"
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
,,,Fecha no disponible,
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
Shieldwall Chronicles: Swords of the North,"7,99 €*","• Aventura, Estrategia, Rol (RPG), Tablero",10-06-2021,Shieldwall Chronicles: Swords of the North es un emocionante RPG táctico en el que podrás formar una poderosa banda de mercenarios y vivir grandes aventuras.
ANIMUS: Revenant,"24,99 €*","• Acción, Aventura, Lucha, Rol (RPG)",10-06-2021,"Leap into the tragedy and ruin the dead king has wrought. Craft weapons, engage in tense combat to uncover the hidden stories within this Action RPG."
Kirakira stars idol project Ai,"8,00 €4,00 €*",• Aventura,10-06-2021,"""I want to be an idol!"" The story of a producer and an idol's growth begins in a small entertainment company."
Alba: A Wildlife Adventure,"19,99 €*",• Aventura,09-06-2021,Los pequeños gestos pueden marcar una gran diferencia.
Paradox Error,"4,99 €*","• Acción, Plataformas",09-06-2021,¡Adáptate y supera las fallas de un mundo digital en constante cambio!
Pocket Warriors,"11,00 €*","• Acción, Aventura, Fiesta, Lucha",08-06-2021,"Fight against the evil, beat up bad guys and save the realm!"
Red Ball Escape,"2,99 €*","• Arcade, Otros, Plataformas, Puzle",08-06-2021,Can you escape and solve tricky platformer puzzles?
Bring Honey Home,"4,99 €*","• Educativo, Estrategia, Puzle, Tablero",08-06-2021,The bee's need your help to fill up the honeycombs! Be busy like a bee and fill all the honeycombs with sweet honey blocks!
Willy Morgan and the Curse of Bone Town,"24,99 €*","• Aventura, Puzle",08-06-2021,"Explora una ciudad pirata poco convencional, sumérgete en el pasado y busca pistas que ayuden a Willy a averiguar qué le ocurrió a su padre..."
Lost Lands: Mistakes of the Past,"13,99 €8,39 €*","• Aventura, Puzle",07-06-2021,¡Vuelve las manos del tiempo para liberar las Tierras Perdidas!
Umurangi Generation Special Edition,"20,99 €*","• Acción en primera persona (FPS), Aventura, Disparos (Shooter), Simulación",05-06-2021,A first person photography game set during a crisis event
CAESAR EMPIRE WAR,"4,99 €*",• Estrategia,05-06-2021,"Construye tu propio campamento romano en este juego de construcción/estrategia. Interpretas a César, el emperador del Imperio Romano."
Retrograde Arena,"0,00 €*","• Arcade, Disparos (Shooter), Fiesta",05-06-2021,"Use weapons, physics, and your Drone to push, pull, and blast your foes into deadly surroundings in skill-based multiplayer physics focused action title, Retrograde Arena"
Mighty Goose,"16,79 €6,71 €*","• Acción, Arcade, Disparos (Shooter), Plataformas",05-06-2021,Viaja por la galaxia persiguiendo a los malos. Así es la vida de Mighty Goose.
Griftlands,"13,29 €*",• Estrategia,04-06-2021,Griftlands es un videojuego de mazmorras y de plataforma de construcción de mazos en el que luchas y negocias para abrirte paso a través de un mundo de ciencia ficción en ruinas.
Los últimos frikis del mundo y el Báculo del Destino,"29,99 €*","• Acción, Rol (RPG)",04-06-2021,¡Únete a Jack y a sus amigos en esta épica aventura postapocalíptica para salvar nuestro mundo de la Reina de los Monstruos Pringosos!
DC Super Hero Girls: Teen Power,"59,99 €*","• Acción, Aventura",04-06-2021,¡Únete a las DC Super Hero Girls y salva Metropolis en DC Super Hero Girls: Teen Power!
Skellboy Refractured,"20,00 €*","• Acción, Aventura, Rol (RPG)",04-06-2021,¡Conviértete en el héroe del reino de Cubonia cambiando tus partes del cuerpo por las de amigos y enemigos!
Basketball Pinball,"2,99 €*","• Acción, Arcade, Deportes, Simulación",04-06-2021,Vuelve el Pinball mas divertido!
Hero Pop,"7,99 €*","• Acción, Estrategia, Puzle, Simulación",04-06-2021,Ayuda a la Hero Matrix a patrullar la ciudad que protege. Combina 3 o más de los mismos colores para eliminar las burbujas y salvar a los bebés. 200 niveles de rompecabezas para jugar. Varios poderes para usar en cada nivel.
Head Games,"4,99 €*","• Arcade, Deportes, Fiesta",04-06-2021,
Nature Matters,"4,99 €*","• Aventura, Educativo, Estilo de vida, Puzle",04-06-2021,
Arcane Arts Academy,"7,99 €0,99 €*","• Aventura, Estilo de vida, Estrategia, Simulación",04-06-2021,"Erika has always felt different. Somehow, she just never seemed to fit in. To her the world always seemed to have some hidden meaning she could never quite grasp… until"
Donuts'n'Justice,"4,99 €*","• Acción, Arcade, Disparos (Shooter)",04-06-2021,¡Devuelve la justicia a las calles con actitud... y donuts!
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
,,,Fecha no disponible,
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
Sweet Bakery Tycoon,"4,99 €*","• Aventura, Estrategia, Puzle, Simulación",04-06-2021,¡Endulza tu vida!
Tiny Lands,"5,99 €0,99 €*","• Aventura, Educativo, Puzle",04-06-2021,Un relajante juego isométrico con estilo low poly en el cual tenéis que encontrar las diferencias en 3D experimentando un entorno precioso.
Winds of Change,"19,99 €3,99 €*","• Aventura, Otros, Rol (RPG)",03-06-2021,¡Vive el cuento de furris definitivo!
Astalon: Tears of the Earth,"16,79 €*","• Acción, Aventura, Plataformas, Puzle",03-06-2021,a Muerte es Solo el Comienzo
Motif,"2,99 €*","• Estilo de vida, Otros, Puzle",03-06-2021,Motif is a minimalistic puzzle game that brings artistic elements to the foreground.
FreeCell Solitaire Collection,"7,99 €*","• Estrategia, Puzle, Tablero",03-06-2021,20 popular FreeCell games in one
Wicce,"7,29 €*","• Acción, Aventura, Plataformas, Rol (RPG)",03-06-2021,¡Ingresa a la ciudad de la muerte para salvar a la querida hija!
Stray Cat Doors2,"13,00 €*","• Aventura, Puzle",03-06-2021,"Viajemo a la nueva aventura con ""la niña del sombrero de gato blanco""."
Sunblaze,"14,99 €*","• Acción, Arcade, Plataformas, Puzle",03-06-2021,"¡Controla a Josie en el simulador de entrenamiento para superhéroes que construyó su padre, un superhéroe retirado!"
Arcade Archives HACHA MECHA FIGHTER,"6,99 €*","• Arcade, Disparos (Shooter)",03-06-2021,Cute characters and fun music! A user-friendly design that's great for all players!
Conglomerate 451: Overloaded,"9,99 €*",• Rol (RPG),03-06-2021,¡Ya está aquí Conglomerate 451: Overloaded! Enfréntate al cibermundo en un RPG en primera persona de exploración de mazmorras y diseño cuadriculado con elementos roguelike.
Infinite Tanks WWII,"19,99 €*","• Acción, Arcade, Simulación",03-06-2021,Construye y lucha contra tanques de la Segunda Guerra Mundial
Basketball Club Story,"13,00 €*","• Deportes, Estrategia, Otros, Simulación",03-06-2021,Sim de adm. de un equipo de básquetbol ¡Entrena un equipo personalizado y llévalo al éxito!
Wing of Darkness,"29,99 €*",• Disparos (Shooter),03-06-2021,¡Conquista los cielos para salvar el mundo!
Mystic Pillars: A Story-Based Puzzle Game,"5,69 €*","• Otros, Puzle",03-06-2021,Atraviese paisajes místicos de una época pasada. Descubra la verdad al resolver rompecabezas adictivos y recupere la gloria de una tierra antigua.
Dark Fantasy: Jigsaw Puzzle,"4,99 €*","• Puzle, Rol (RPG), Simulación, Tablero",03-06-2021,¡Los rompecabezas nunca han sido tan atmosféricos! Dark Fantasy te llevará en un viaje a través de retratos sombríos.
Reversi Let's Go,"4,99 €*","• Fiesta, Puzle, Tablero",03-06-2021,Classic Reversi with 4 modes. Play it with your family and friends!
Dungeons of Clay,"6,99 €*","• Acción, Aventura, Disparos (Shooter), Plataformas",03-06-2021,Explore the ever-changing dungeons in the surreal world made of clay.
Chroma Quaternion,"14,99 €*","• Aventura, Estrategia, Rol (RPG), Simulación",03-06-2021,¡Una aventura en los cuatro reinos colorados de las estaciones!
Dungeon Escape,"4,99 €*","• Acción, Arcade, Plataformas",02-06-2021,¡Encuentra una salida o muere repetidamente en este difícil juego de plataformas en 2D!
Sludge Life,"14,99 €*","• Acción en primera persona (FPS), Aventura, Otros",02-06-2021,"Recorre una isla diminuta atrapada en un planeta cubierto de lodo metiéndote en la piel del aspirante a grafitero GHOST, un despreocupado bandido empeñado en ganarse un puesto entre la élite del grafiti."
Grand Slam Tennis,"3,99 €*","• Deportes, Simulación",02-06-2021,Juega los 4 torneos de Grand Slam en este juego de tenis altamente realista. Juega solo o contra tus amigos y familiares en el modo multijugador local a pantalla dividida.
Overboard!,"12,69 €*","• Aventura, Estrategia",02-06-2021,GET AWAY WITH MURDER. Highly replayable detective game where you're the one whodunnit. From the creators of 80 Days and Heaven's Vault.
Find 10 Differences,"5,99 €2,99 €*","• Educativo, Otros, Puzle, Tablero",02-06-2021,Can you spot the 10 differences ?
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
,,,Fecha no disponible,
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
Carnivores: Dinosaur Hunt,"14,99 €*","• Acción, Acción en primera persona (FPS), Deportes, Simulación",01-06-2021,Carnivores: Dinosaur Hunt - es un simulador de caza en primera persona en el que cazas a las criaturas más grandes y peligrosas que jamás hayan existido - los DINOSAURIOS.
Justin Danger,"4,99 €*","• Arcade, Aventura, Plataformas",01-06-2021,
Pony World 3,"6,99 €*","• Aventura, Puzle, Rol (RPG), Simulación",01-06-2021,"En el mundo de los ponis 3 puedes crear tu propio pony soñado desde cero y ayudar a desarrollar su personaje eligiendo la forma de educación, carrera y hacer amigos."
Stonefly,"19,99 €*","• Acción, Aventura, Plataformas, Rol (RPG)",01-06-2021,Aprovecha el viento ¡y echa a volar!
Cow Catcher,"4,99 €*","• Arcade, Aventura, Carreras, Simulación",31-05-2021,"Cow Catcher is an unusual wingsuit flight simulator. You become Strange Wingsuit Man, whose goal in life is to fly around, steal random cows and wave his hands like a madman."
Felix The Toy,"4,99 €*","• Arcade, Aventura, Plataformas",30-05-2021,A small toy with a big heart!
Off And On Again,"4,39 €*","• Arcade, Aventura, Plataformas, Puzle",29-05-2021,"Off And On Again tells the story of a hero tasked with rebooting time. The game world is created and destroyed during play, with the hero having the ability to turn parts of the world off and on"
Strike Daz Cans,"2,99 €*",• Arcade,29-05-2021,
BEAUTIFUL DESOLATION,"19,99 €*","• Aventura, Estrategia, Plataformas, Rol (RPG)",28-05-2021,La mejor aventura de ciencia ficción a través de una África posapocalíptica.
Port Royale 4,"49,99 €*","• Estrategia, Simulación",28-05-2021,"Embárcate y únete a las fuerzas coloniales de España, Inglaterra, Francia y los Países Bajos en la lucha por la supremacía del mar Caribe en el siglo XVII."
Trenga Unlimited,"5,99 €*","• Estrategia, Fiesta, Puzle",28-05-2021,Un relajante juego de puzzle en 3D con una mecánica de colocación de bloques para desafiar a tu cerebro a resolver complicadas misiones en una aventura subacuática.
World's End Club,"39,99 €*","• Acción, Aventura, Plataformas",28-05-2021,Amigos hasta el fin.
Wonder Boy Asha in Monster World,"19,99 €*","• Acción, Rol (RPG)",28-05-2021,¡Comienzan las aventuras de Asha y Pepelogoo!
LOVE - Un rompecabezas lleno de historias,"24,00 €*","• Aventura, Estilo de vida, Puzle",28-05-2021,"En cada vida hay una historia. Y en cada historia, un remordimiento. Pero ¿qué harías si te dijese que puedes cambiar el pasado?"
Long Ago: A Puzzle Tale,"3,99 €*",• Puzle,28-05-2021,"A relaxing puzzle game with colorful visuals, beautiful music and a narrated tale told in rhyme."
Crossbow Crusade,"4,99 €*",• Plataformas,28-05-2021,You are the legendary monster hunter on a mission to survive the slaughter through the Dead Kingdom.
Color Dot Connect,"4,99 €2,49 €*","• Educativo, Puzle, Tablero",28-05-2021,Simple and awesome puzzle game!
Family Mysteries 3: Criminal Mindset,"14,99 €*","• Aventura, Puzle",28-05-2021,¡Es mejor que algunas ideas queden en el olvido!
A Little Lily Princess,"12,99 €*","• Aventura, Simulación",28-05-2021,Romance y suspense Yuri en la Inglaterra Victoriana.
Route Me Mail and Delivery Co,"6,59 €*","• Arcade, Estrategia, Puzle, Rol (RPG)",28-05-2021,"Welcome to your new career! Deliver mail, complete routes and pay off your debt! Become the ultimate postman."
Craps at Aces Casino,"7,99 €*","• Acción, Arcade, Simulación, Tablero",28-05-2021,¡Ojos de serpiente! Pon a prueba tu suerte con los dados en un juego de dados estilo Vegas. Varias mesas de Craps para elegir. Bonus juegos de rascar para ganar fácilmente.
Pixel Head Soccer,"1,99 €*","• Arcade, Deportes, Fiesta",28-05-2021,
Regina & Mac World,"3,99 €*","• Acción, Arcade, Aventura, Plataformas",28-05-2021,
Hyrule Warriors: La era del cataclismo,"A partir de: 59,99 €*","• Acción, Aventura",20-11-2020,¡Vive el gran cataclismo y salva Hyrule de la destrucción absoluta!
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
,,,Fecha no disponible,
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
Crying Suns,"20,99 €*","• Estrategia, Rol (RPG)",27-05-2021,Crying Suns es un luego de exploración táctica donde encarnas a un gran almirante que explora su caído imperio.
Horse Club Adventures,"19,99 €*","• Aventura, Carreras",27-05-2021,¡Los maravillosos personajes de HORSE CLUB™ de Schleich cobran vida!
Pathway,"13,99 €*","• Aventura, Estrategia, Rol (RPG)",27-05-2021,Una bulliciosa aventura hacia lo desconocido...
Weaving Tides,"24,99 €*","• Acción, Aventura, Plataformas, Puzle",27-05-2021,Prepárate para una aventura acogedora a lomos de tu dragón de la alfombra.
Warhammer Age of Sigmar: Storm Ground,"19,99 €*",• Estrategia,27-05-2021,¡Conquista los Reinos Mortales!
O---O,"3,49 €*","• Acción, Arcade",27-05-2021,"Un juego de estilo arcade como los juegos antiguos para la primera generacion de consolas. Tiene lugar en una esfera cybernetica, acompanada con musica electronica."
EARTH DEFENSE FORCE: WORLD BROTHERS,"39,99 €9,99 €*","• Acción, Disparos (Shooter), Estrategia, Fiesta",27-05-2021,¡El cuadriculado mundo digital te necesita!
Fishing Fighters,"19,99 €*","• Deportes, Simulación",27-05-2021,"Fishing Fighters es una exclusiva experiencia competitiva que no solo atraerá a los amantes de la pesca, sino también a familiares y amigos."
Mini Car Racing,"4,99 €2,49 €*","• Arcade, Carreras, Fiesta",27-05-2021,Looking for a funny arcade racer with splitscreen multiplayer ?
Connect Color Dots: Fun Water Flow Pipe Line Art Puzzle Game,"9,95 €*","• Educativo, Estrategia, Puzle, Tablero",27-05-2021,"Juego de rompecabezas muy adictivo, pero simple, en el que debes conectar puntos con una tubería."
Eight Dragons,"7,99 €*","• Acción, Arcade, Lucha",27-05-2021,An old-school scrolling beat-'em-up for up to eight players!
Kontrakt,"6,99 €*","• Acción, Arcade, Aventura, Disparos (Shooter)",27-05-2021,Kontrakt is a hyper-violent action-adventure game about schizophrenia with a dark and twisted story.
Best Sniper Legacy: Dino Hunt & Shooter 3D,"1,99 €*","• Acción, Acción en primera persona (FPS), Aventura, Disparos (Shooter)",27-05-2021,SOBREVIVE AL APOCALIPSIS GRACIAS A TUS MORTÍFERAS HABILIDADES COMO FRANCOTIRADOR!
Family Vacation: California,"9,99 €0,99 €*","• Aventura, Puzle",27-05-2021,Join the Simmons family as they embark on their Family Vacation to sunny California in this family-friendly adventure.
Sumire,"12,99 €*","• Aventura, Comunicación, Estilo de vida, Otros",27-05-2021,"Un día, una vida. Embárcate en un misterioso viaje para ayudar a Sumire a conseguir lo que más desea antes de que se acabe el día y llegue el anochecer."
Arcade Archives TIME PILOT '84,"6,99 €*","• Arcade, Disparos (Shooter)",27-05-2021,"The Vulcan cannon spews fire and the homing missiles zoom through the air, making for a thrilling experience!"
Hentai vs. Evil,"9,99 €*","• Acción, Disparos (Shooter)",27-05-2021,¡Salva a las chicas anime de hordas de demonios y zombies!
LiEat,"8,99 €4,49 €*","• Aventura, Otros, Puzle, Rol (RPG)",27-05-2021,Efina is a very special young girl. She's curious. She's optimistic. She's also a dragon.
Kings of Paradise,"24,99 €*",• Aventura,27-05-2021,Let me teach you how to truly live again.
Mundaun,"19,99 €*",• Aventura,27-05-2021,Una encantadora historia de terror dibujada a lápiz.
Missing Features: 2D,"3,99 €*","• Arcade, Aventura, Otros, Plataformas",27-05-2021,"Missing Features: 2D is a platform game that, as the name implies, all the mechanics are missing!"
Spy Alarm,"8,99 €*","• Estilo de vida, Uso práctico",27-05-2021,
Mutazione,"19,50 €*","• Aventura, Música, Otros",26-05-2021,Una telenovela mutante en la que los cotilleos de un pueblo conviven con lo sobrenatural.
Aluna: Sentinel of the Shards,"15,99 €*","• Acción, Aventura, Lucha, Rol (RPG)",26-05-2021,"Podrás disfrutar de este juego RPG de Acción y ver cómo nuestra heroína, Aluna, a medida que ella intenta defender su fragmento mágico, que posee el poder de la tierra."
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
,,,Fecha no disponible,
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
Skittles,"5,99 €*","• Arcade, Deportes",26-05-2021,Skittles es un juego de habilidad en el que el objetivo es anotar exactamente cincuenta puntos derribando bolos numerados del 1 al 12 con el lanzamiento de un palo de madera.
King of Seas,"24,99 €*","• Aventura, Estrategia",25-05-2021,King of Seas es un juego de rol de acción ambientado en un mundo pirata generado por procedimientos mortales.
Shin Megami Tensei III Nocturne HD Remaster,"49,99 €*",• Rol (RPG),25-05-2021,"Vuelve a despertar tu demonio interior en la versión actualizada del aclamado clásico de ATLUS, Shin Megami Tensei III Nocturne HD Remaster."
Very Very Valet,"14,99 €*","• Acción, Fiesta, Simulación",25-05-2021,¡Very Very Valet es un alocado juego cooperativo local para todo tipo de conductores!
Maneater,"39,99 €*","• Acción, Rol (RPG)",25-05-2021,Vive una gran fantasía de poder como el depredador alfa marino: ¡un TIBURÓN aterrador! Maneater es un juego de acción RPG para un jugador ambientado en las despiadadas aguas del golfo de México.
Eat your letters,"4,99 €2,49 €*","• Educativo, Puzle, Tablero",24-05-2021,Mix exquisite letters into delicious words and empty your plate !
Lost Lands: Ice Spell,"13,99 €8,39 €*","• Aventura, Puzle",24-05-2021,¡Encuentra la fuente del frío letal y deshazte de ella!
RoboPhobik,"7,99 €*","• Arcade, Disparos (Shooter), Estrategia, Puzle",22-05-2021,RoboPhobik es un shooter arcade inspirado en la ciencia ficción de los años 70 con un giro especial. Los enemigos no se mueven ni atacan mientras permanezcas inmóvil.
Cosmic Top Secret,"9,99 €*","• Aventura, Educativo, Otros, Puzle",21-05-2021,"Hi, I’m “T”. Was my Dad a spy during the Cold War? Help me investigate!"
Gutwhale,"4,99 €1,99 €*","• Acción, Arcade, Disparos (Shooter), Plataformas",21-05-2021,¡Reutiliza tu munición para escapar!
Wanna Survive,"14,99 €*","• Estrategia, Rol (RPG)",21-05-2021,¿QUIERES SOBREVIVIR AL APOCALIPSIS ZOMBI?
Miitopia,"49,99 €*","• Aventura, Rol (RPG), Simulación",21-05-2021,¡Emprende un viaje desternillante con tus personajes Mii favoritos en Miitopia para Nintendo Switch!
Driving World: Aspen,"11,99 €*","• Acción, Carreras, Deportes, Simulación",21-05-2021,
Zumatch,"5,99 €*","• Arcade, Aventura, Estrategia, Puzle",21-05-2021,Ayuda a la exploradora Dakota Jane a navegar ella misma en esta clásica aventura en la jungla. Combina 3 bolas o más para avanzar más en la jungla. Usa el disparador de burbujas para disparar bolas para que coincidan con su color para destruirlas.
Dancing Dreamer,"6,99 €*","• Acción, Arcade, Música, Plataformas",21-05-2021,"Slide to surf, tap to jump. Experience original soundtracks and travel in dream journeys!"
Kowloon High-School Chronicle,"19,99 €*","• Aventura, Puzle, Rol (RPG)",21-05-2021,Ponte en el papel de un cazatesoros de instituto en este esperado RPG clásico.
Guards,"4,99 €0,99 €*","• Aventura, Estrategia, Puzle",21-05-2021,"¡Cuatro héroes contra una horda despiadada! Ataques especiales, artefactos mágicos, mejoras de personaje y estrategia, ¡necesitarás todo ello para derrotar al jefe final!"
Rising Hell,"8,99 €*","• Acción, Aventura, Rol (RPG)",20-05-2021,¡Siempre arriba! ¡Arrasa y escapa del Infierno en este roguelite tan heavy!
Color Your World,"4,99 €*","• Arcade, Estrategia, Puzle",20-05-2021,¡Piensa rápido para resolver 100 coloridos puzles laberínticos y colorear tu mundo!
Rise of the Slime,"13,99 €*","• Aventura, Estrategia, Otros, Rol (RPG)",20-05-2021,¡Nadie se esperaba que alguien así salvara el mundo!
Invirium,"7,99 €*","• Acción, Arcade, Disparos (Shooter)",20-05-2021,Try to challenge uncontrollable microorganisms world. You are only one - small cell against many pathogens to exterminate. Save the human body and reach the inner body nirvana.
Sakura Succubus 2,"9,99 €4,99 €*",• Aventura,20-05-2021,Conoce y enamora a las mujeres increíbles de la industria del entretenimiento japonesa.
Just Die Already,"13,99 €*","• Aventura, Simulación",20-05-2021,¿Cómo sobrevivirás en un mundo que se muere por verte palmarla?
Layers of Fear 2,"29,99 €*","• Aventura, Otros",20-05-2021,"En este juego de terror psicológico en primera persona, te pones en la piel de un actor de Hollywood a bordo de un transatlántico."
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
,,,Fecha no disponible,
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
Backworlds,"8,25 €*","• Plataformas, Puzle",20-05-2021,Backworlds is a multi-dimensional puzzle platform game in which you explore by painting. Solve environmental conundrums by using each world’s physical properties!
Let it roll slide puzzle,"3,99 €1,99 €*","• Educativo, Otros, Puzle, Tablero",20-05-2021,"A simple great sliding puzzle game, where you need to let the ball roll into the goal !"
Wood Block Escape Puzzles,"3,99 €*","• Educativo, Otros, Puzle, Tablero",20-05-2021,Challenging unblocking puzzles with different difficulties ranging from beginner to expert.
